turker    	 adjective     	 response 	 mean  	 onestdev 	 respdev          	 had_negative     logrespdev
T_330915  	 relative      	 3200     	 3150  	 80       	 0.625            	 noNeg            -0.470003629245735
T_6468097 	 relative      	 8800     	 8710  	 80       	 1.125            	 noNeg            0.117783035656384
T_3983240 	 relative      	 3523     	 3390  	 480      	 0.277083333333   	 noNeg            -1.28343697568139
T_6605231 	 relative      	 10240    	 10140 	 400      	 0.25             	 noNeg            -1.38629436111989
T_2032567 	 relative      	 1422     	 1400  	 25       	 0.88             	 noNeg            -0.127833371509885
T_5896210 	 relative      	 3940     	 3910  	 120      	 0.25             	 noNeg            -1.38629436111989
T_3567432 	 relative      	 6160     	 6060  	 160      	 0.625            	 noNeg            -0.470003629245735
T_5429916 	 relative      	 1680     	 1670  	 170      	 0.0588235294118  	 noNeg            -2.83321334405561
T_9040925 	 relative      	 4500     	 4080  	 485      	 0.865979381443   	 noNeg            -0.143894179660414
T_2187949 	 relative      	 6500     	 6280  	 400      	 0.55             	 noNeg            -0.59783700075562
T_6987667 	 relative      	 1600     	 1490  	 210      	 0.52380952381    	 noNeg            -0.646627164924143
T_94744   	 relative      	 11000    	 10380 	 465      	 1.33333333333    	 noNeg            0.287682072449281
T_6453084 	 relative      	 1750     	 1620  	 215      	 0.604651162791   	 noNeg            -0.50310357767158
T_3757827 	 relative      	 1130     	 1110  	 50       	 0.4              	 noNeg            -0.916290731874154
T_1771975 	 relative      	 6580     	 6520  	 290      	 0.206896551724   	 noNeg            -1.57553636075908
T_8894480 	 relative      	 6400     	 6200  	 200      	 1                	 noNeg            2.22044604925031e-16
T_2257827 	 relative      	 3900     	 3710  	 350      	 0.542857142857   	 noNeg            -0.610909082323236
T_7332968 	 relative      	 5500     	 5350  	 225      	 0.666666666667   	 noNeg            -0.405465108107664
T_1562652 	 relative      	 2600     	 2360  	 345      	 0.695652173913   	 noNeg            -0.362905493689431
T_5659439 	 relative      	 7300     	 7190  	 430      	 0.255813953488   	 noNeg            -1.36330484289665
T_4286557 	 relative      	 2600     	 2530  	 395      	 0.177215189873   	 noNeg            -1.73039052285412
T_7308371 	 relative      	 4650     	 4640  	 15       	 0.666666666667   	 noNeg            -0.405465108107664
T_776234  	 relative      	 8330     	 8320  	 40       	 0.25             	 noNeg            -1.38629436111989
T_4394973 	 relative      	 4802     	 4630  	 215      	 0.8              	 noNeg            -0.223143551314209
T_5696457 	 relative      	 10400    	 10270 	 405      	 0.320987654321   	 noNeg            -1.13635261665092
T_901679  	 relative      	 9300     	 9210  	 320      	 0.28125          	 noNeg            -1.26851132546351
T_4189793 	 relative      	 900      	 800   	 140      	 0.714285714286   	 noNeg            -0.336472236620813
T_2905681 	 relative      	 2000     	 1820  	 190      	 0.947368421053   	 noNeg            -0.0540672212698866
T_914035  	 relative      	 4200     	 3960  	 405      	 0.592592592593   	 noNeg            -0.52324814376386
